2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8638|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8795|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8795|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8795|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8795|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.8795|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9128|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
2023-04-13 19:44:52.9260|49|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMPS8R308U3T" sending DATA frame for stream ID 5 with length 10240 and flags NONE. |url: |action: |Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http2.Http2FrameWriter.WriteHeaderUnsynchronized
